wellName,DEPT,DT,GR,NPHI,PHIE,RHOB,VCL,DEPO_FACIES
15_1-SD-1X,2205.125,83.71099854,134.8217926,0.256999999,0.174899995,2.290999889,0.316500008,0
15_1-SD-1X,2205.25,82.94599915,137.5220032,0.228,0.173899993,2.292000055,0.269499987,0
15_1-SD-1X,2205.375,82.68499756,128.23460390000002,0.257999986,0.165999994,2.313999891,0.320499986,0
15_1-SD-1X,2205.5,82.69599915,127.4147034,0.245000005,0.181099996,2.292999983,0.26150000100000004,0
15_1-SD-1X,2205.625,81.78900147,112.219902,0.26899999399999996,0.187299997,2.296000004,0.266200006,0
15_1-SD-1X,2205.75,81.72850037,112.38890079999999,0.248999998,0.190599993,2.2945001130000002,0.222200006,0
15_1-SD-1X,2205.875,81.66799927,112.5578995,0.22900000199999998,0.193800002,2.292999983,0.178200007,0
15_1-SD-1X,2206.0,81.64299774,113.0457993,0.23800000600000001,0.207699999,2.269000053,0.16650000199999998,0
15_1-SD-1X,2206.125,81.82099915,128.05439760000002,0.21600000600000002,0.184400007,2.290999889,0.1998,0
15_1-SD-1X,2206.25,82.45400238,114.34310149999999,0.20499999800000002,0.1796,2.315999985,0.163100004,0
15_1-SD-1X,2206.375,82.57649994,126.4058991,0.221000001,0.156299993,2.336499929,0.264899999,0
15_1-SD-1X,2206.5,82.6989975,138.466507,0.237000004,0.129899994,2.3570001130000002,0.380499989,0
15_1-SD-1X,2206.625,83.89700317,111.39160159999999,0.250999987,0.161300004,2.3420000080000003,0.28729999100000003,0
15_1-SD-1X,2206.75,84.93499756,117.8458023,0.245000005,0.224199995,2.237999916,0.154100001,0
15_1-SD-1X,2206.875,85.02799988,120.29070279999999,0.289999992,0.200800002,2.263000011,0.291000009,0
15_1-SD-1X,2207.0,84.88700104,116.78949740000002,0.272000015,0.201100007,2.269999981,0.250999987,0
15_1-SD-1X,2207.125,84.75550079,113.0203018,0.280499995,0.202999994,2.269999981,0.257999986,0
15_1-SD-1X,2207.25,84.62400055,109.2472,0.289000005,0.204799995,2.269999981,0.266000003,0
15_1-SD-1X,2207.375,84.25900269,117.3511963,0.266000003,0.20200000699999998,2.269999981,0.239999995,0
15_1-SD-1X,2207.5,84.32900238,113.63629909999999,0.300000012,0.201000005,2.269999981,0.30109998600000004,0
15_1-SD-1X,2207.625,84.42400359999999,108.8144989,0.275999993,0.211700007,2.260999918,0.22519999699999999,0
15_1-SD-1X,2207.75,84.73300171,108.33300020000001,0.277999997,0.209700003,2.263999939,0.232299998,0
15_1-SD-1X,2207.875,85.04199982,107.85169979999999,0.280000001,0.207599998,2.26699996,0.23939999899999997,0
15_1-SD-1X,2208.0,85.83000183,111.07929990000001,0.300000012,0.20499999800000002,2.266000032,0.288700014,0
15_1-SD-1X,2208.125,86.55200195,113.143898,0.303000003,0.206400007,2.260999918,0.294,0
15_1-SD-1X,2208.25,87.47899628,98.89459992,0.35400000200000004,0.23350000399999998,2.221999884,0.316399992,0
15_1-SD-1X,2208.375,88.41500092,110.7559967,0.388999999,0.20749999600000002,2.249000073,0.453999996,0
15_1-SD-1X,2208.5,88.77149963,105.8161011,0.389499992,0.20710000399999998,2.25699997,0.453500003,0
15_1-SD-1X,2208.625,89.12799835,100.87570190000001,0.389999986,0.205200002,2.265000105,0.454400003,0
15_1-SD-1X,2208.75,89.99099731,101.4459992,0.32400000100000004,0.2421,2.213999987,0.247199997,0
15_1-SD-1X,2208.875,90.08799744,110.4826965,0.28099998800000003,0.22879999899999998,2.236000061,0.206699997,0
15_1-SD-1X,2209.0,89.90000153,113.97509769999999,0.326999992,0.226799995,2.227999926,0.303200007,0
15_1-SD-1X,2209.125,89.75450134,108.72499850000001,0.320499986,0.23289999399999997,2.224499941,0.27059999100000004,0
15_1-SD-1X,2209.25,89.60900116,103.469902,0.314000011,0.238600001,2.220999956,0.239700005,0
15_1-SD-1X,2209.375,89.52400208,114.3891983,0.360000014,0.21220000100000003,2.244999886,0.397100002,0
15_1-SD-1X,2209.5,88.82700348,118.1855011,0.360000014,0.225600004,2.220000029,0.375099987,0
15_1-SD-1X,2209.625,88.22599793,106.6222,0.333999991,0.204400003,2.26699996,0.351000011,0
15_1-SD-1X,2209.75,87.91500092,115.3675003,0.316000015,0.190099999,2.28399992,0.358799994,0
15_1-SD-1X,2209.875,87.46399689,117.672699,0.308499992,0.195999995,2.273999929,0.336499989,0
15_1-SD-1X,2210.0,87.01300049,119.9770966,0.30099999899999996,0.201900005,2.263999939,0.314599991,0
15_1-SD-1X,2210.125,85.76899719,126.97750090000001,0.300000012,0.213,2.239000082,0.304199994,0
15_1-SD-1X,2210.25,84.38400269,114.29759979999999,0.24400000300000002,0.222000003,2.249000073,0.156000003,0
15_1-SD-1X,2210.375,83.26899719,116.560997,0.27900001399999996,0.1972,2.279000044,0.277200013,0
15_1-SD-1X,2210.5,82.83599854,136.046402,0.30099999899999996,0.177399993,2.280999899,0.402399987,0
15_1-SD-1X,2210.625,82.72299957,142.5868988,0.305000007,0.1655,2.286499977,0.45289999299999995,0
15_1-SD-1X,2210.75,82.61000061,149.1298981,0.308999986,0.152700007,2.292000055,0.5095000270000001,0
15_1-SD-1X,2210.875,82.0510025,156.1611939,0.287999988,0.11219999900000001,2.339999914,0.5809000129999999,0
15_1-SD-1X,2211.0,82.08799744,173.2285004,0.36300000600000004,0.030099999,2.480999947,0.752699971,0
15_1-SD-1X,2211.125,81.52500153,194.50650019999998,0.36500001,0.0001,2.519000053,0.9696000220000001,2
15_1-SD-1X,2211.25,81.33750153,188.9976959,0.370499998,0.0008,2.510999918,0.917299986,2
15_1-SD-1X,2211.375,81.15000153,183.48379519999997,0.37599998700000004,0.0027,2.503000021,0.873099983,2
15_1-SD-1X,2211.5,80.84400177,189.3204041,0.351000011,0.0099,2.457999945,0.814700007,2
15_1-SD-1X,2211.625,80.63800049,199.7487946,0.296000004,0.0,2.519999981,1.0,2
15_1-SD-1X,2211.75,80.73500061,198.0746002,0.316000015,0.0,2.509999991,1.0,2
15_1-SD-1X,2211.875,80.44300079,192.9411926,0.340999991,0.0,2.515000105,1.0,2
15_1-SD-1X,2212.0,80.47350311,197.559494,0.33250001100000004,0.0,2.480499983,1.0,2
